searchSlur,Slur,Represents,Reason
brazuca,Brazuca,Brazilians,Does not necessarily bear a negative connotation. It is used by Brazilians most often when depicting Brazilian athletes playing abroad.
brew,Brew,Jews,Short for Hebrew.
briar,Briar,Whites,Term probably comes from the briar bushes found in Appalachian states. Variant: briar-hopper. Applied locally to redneck Kentucky native or other southerner from Appalachia who resettled in Southwestern Ohio during or after WWII in search of factory jobs.
brillopad,Brillo Pad,Blacks,Hair reminiscent of a Brillo Pad.
brit,Brit,British,Short for British. Used as in Brits Out!: graffiti from Ireland.
bro,Bro,Blacks,Contraction of brother see: Brother.
bro-ho,Bro-ho,Whites,A white woman who dates or has sex with black men. Bro = black man. Ho = short for whore.
bronxindian,Bronx Indian,Jews,Probably not derogatory possibly self-referential. Most likely from sometime between the turn of the century and the early sixties. I have only found one reference to it but I believe it is most likely from the fact that in the first half of the twentieth century for a period almost fifty percent of the Bronx was Jewish thus they were seemingly like the native population of the Bronx.
brother,Brother,Blacks,Used by blacks in an effort to help unify their race. Also used by non-black races to poke fun at or try to identify with the black race.
brownpants/shirts,Brown Pants/Shirts,Italians,From the color of their uniforms in WW II. Said by American GIs to hide when they defecate themselves on the battlefield.
browntractor,Brown Tractor,Mexicans,They sometimes do work tractors might normally be used for.
browntrumpet,Brown Trumpet,Blacks,Represents Black American jazz musicians.
brownie,Brownie,Blacks,Skin color like the favorite treat.
brucelee,Bruce Lee,Asians,Self explanatory
bruisedbanana,Bruised Banana,Asians,A banana who acts black.
bubbrubb,Bubb Rubb,Blacks,Wooooo Wooooo.
bubba,Bubba,Blacks,When referring to prison the big guy who takes advantage of all the new prisoners is derogatorily called Bubba.
bubba,Bubba,Whites,Common southern name Reference to any big dumb white guy.
bubble,Bubble,Greeks,Bubble & Squeak is Cockney slang for Greek.
bubbles,Bubbles,Blacks,Big Black man from the film Lilo and Stitch
buck,Buck,Native Americans,The male equivalent of squaw
buck/bucknigger,Buck/Buck Nigger,Blacks,This word has been used since the 17th century to refer to a male Negro - no matter whether slave or not.
bucket,Bucket,Whites,You ain't pale you bucket
buckethead,Buckethead,Koreans,Of all Asian groups Koreans are said to have the biggest heads.
buckra,Buckra,Whites,Gullah language word meaning White Trash.
buckwheat,Buckwheat,Blacks,Refers to Buckwheat a Black character on The Little Rascals.
buddhahead,Buddhahead,Asians,A lot of Asians are Buddhists.
buddhahead,Buddhahead,Hawaiians,Hawaiian-born Japanese Americans. Originally from buta-head meaning pig-headed since Hawaiians were stubborn compared to their mainland counterparts. See: kotonk
buddyblaster,Buddy Blaster,Americans,Refers to US troops' inability to distinguish between friend and foe on the battlefield.
buffalojockey,Buffalo Jockey,Native Americans,Self-explanatory.
buffalosoldier,Buffalo Soldier,Blacks,When the U.S. government was clearing the West of Native Americans they sent many black units to hunt them down.  The Indians thought they looked like buffalo.
buffy,Buffy,Whites,From Buffy the Vampire Slayer. A reference to teenage white girls who watch and identify with the show's main character.
bug-eater,Bug-Eater,Asians,Many Asians eat bugs such as Locusts and Grasshoppers.
bugre,Bugre,Brazilians,Means Indian in Portuguese
buk-buk,Buk-Buk,Filipinos,Insult originates in Hawaii. A slur on how their language sounds to non-Filipinos. Sounds like book-book.
bukakkewarrior,Bukakke Warrior,Japanese,Refers to perverse Japanese sex fetish that involves a woman being the reciepent of several males ejaculation on her face.
bukkakese,Bukkakese,Asians,Reference to the popular Bukkake fetish. (Bukkake + Japanese)
buleh,Buleh,Whites,Means Albino in Indonesian
bulgie,Bulgie,Bulgarians,Self-explanatory
bumi,Bumi,Malaysians,short for the malaysian term bumiputra - son of the soil.  Used by non-native Malays
bump,Bump,Australian Aboriginals,Many vehicles in Australia have 'roo bars mounted on the front (to protect the vehicle from collisions with kangaroos).  Bump is for the sound Aboriganals make when bouncing off the 'roo bar.
bumperlips,Bumper Lips,Blacks,Self-explanatory.
bun,Bun,Jews,As in bun in the oven.
bun,Bun,Blacks,Big Ugly Nigger.
bunker,Bunker,Whites,For the bigoted All In The Family character Archie Bunker.
bunny,Bunny,Mormons,Propensity to spawn many children
buppie,Buppie,Blacks,A (young) black upwardly professional person. Like yuppie but refers to blacks.
burger,Burger,Jews,Many of their names end it Burg
burglar,Burglar,Bulgarians,The word sounds like Bulgar
burntcracker,Burnt Cracker,Blacks,Used as a response to Blacks who call Whites crackers.
burntmatch,Burnt Match,Blacks,Self-explanatory.
burntpizza,Burnt Pizza,Italians,Slur towards dark skinned Italians
burntrice,Burnt Rice,Asians,Darker-skinned Asians.
burnttoast,Burnt Toast,Blacks,Skin color can resemble that of a burnt piece of bread.
burrhead,Burr Head,Blacks,Hair Texture.
burrito,Burrito,Hispanics,Comes from the old adage you are what you eat. Also burrito-head burrito-brain etc.
bushbandit,Bush Bandit,Native American,They hide is bushes
bush-boogie,Bush-Boogie,Blacks,Derived from their jungle origins.
bushmen,Bushmen,Americans,For electing the bush dynasty.
bushnigger,Bushnigger,Native Americans,Self-explanatory.
buster,Buster,Bulgarians,From the cartoon Arthur
butter,Butter,Blacks,Alternative to Nigger.
buttercookie,Butter Cookie,Danish,Reference to Kjeldsen's Butter Cookies a fairly famous export from Denmark.
butterfingers,Butterfingers,French,Started during WWII when the French were occupied by the Germans and were forced to drop all their weapons.
butterhead,Butterhead,Japanese,Used by U.S. Marines in the Pacific Theater of WWII and some survivors of it to this day. Refers to yellow skin tone of Japanese soldiers. Expression appears in some U.S. movies made during the war.
buttonhead,Buttonhead,Indians,Due to the red dot on many Hindu's foreheads.
b�d�sol�h,B�d�s Ol�h,Romanians,The slur means stinky Romanian and it originates in Transylvania where Romanians and Hungarians live together. Hungarians used to call Romanians this way because most Romanians were primitive peasents lacking basic hygiene.
b�g,B�g,Swedes,Finnish people regard Swedish men to be woman-like homosexuals - thus b�g which is Swedish for a homosexual
c-15,C-15,Blacks,From some mythical form where the circle you filled out for race = black was column c number 15.
cabbie,Cabbie,Arabs,A large portion of cab drivers seem to be foreigners mostly of Arab or Indo descent.
cabertosser,Caber Tosser,Scottish,Scottish sport.
cabezitanegra,Cabezita Negra,Hispanics,What whites in Argentina call mestizo people who are darker and poorer. It means Little Black Head; Most of the Argentinians from european heritage either have blonde or light colored hair.
caco,Caco,Puerto Ricans,Puerto Rican youths who dress and act 'gangsta' and drive tricked out import cars with loud sound systems blasting  'Reggaeton' (a type of music that is like hip-hop with heavy percussion sounds).
caffre,Caffre,Blacks,Derogatory term used by South African whites during the apartheid era now considered an offense and beeped out from the media (like an ordinary curse in USA)
cairocoon,Cairo Coon,Arabs,Variant on sand nigger.
