searchSlur,Slur,Represents,Reason
soapdodger,Soap Dodger,French,From the French habit of not appearing to bathe regularly. Also France supposedly has the lowest per capita soap consumption in Europe.
socketface,Socket Face,Asians,Thier eyes are slitted like the electrical sockets on a wall.
sodbuster,Sodbuster,Americans,People moving to the Midwest built their homes out of thick sod since no other building material was available. They also had to break up the sod to plant crops.
soggycracker,Soggy Cracker,Mixed Races,White/Mexican. Wetback and Cracker.
sole,Sole,Samoan,Pronounced 'So Lee' means male in Somoan.
somppu,Somppu,Somalians,Somali Refugee In Finland
son,Son,Blacks,Refers to the way blacks speak Ebonics and append the word son to every phrase/sentence.
sooty,Sooty,Blacks,Self-explanatory
sortarican,Sortarican,Puerto Ricans,Mix of Puerto Rican and any other race. Read in National Lampoon.
soulfood,Soul Food,Blacks,From the black drama Soul Food.
soup,Soup,Mixed Races,A person who has many different races in his blood.
southernwindchime,Southern Windchime,Blacks,During the days of the KKK many black people were hanged from th same tree.
soutpiel,Soutpiel,English,South Africa Afrikaans for 'salt dick' as English South Africans have one foot in SA the other in UK and dicks in ocean.
soysauce,Soy Sauce,Asians,They love soy sauce
soyback,Soyback,Asians,Refers to Asains always using soy sauce
spabook,Spabook,Blacks,Used by Michael Jackson for some unknown reason
spaghettivender,Spaghetti Vender,Italians,Self explanatory
spaghetti-slurper,Spaghetti-Slurper,Italians,Popular Italian dish and method of eating said dish
spaghetti-twister,Spaghetti-Twister,Italians,Popular Italian dish and method of eating said dish
spaghetto,Spaghetto,Italians,Italians who act Black
spanglish,Spanglish,Hispanics,Spanish-Americans; English-speaking Hispanics also the language they speak.
spear-chucker,Spear-Chucker,Blacks,Comes from the hunting styles of African tribal natives.
spec,Spec,Hispanics,Baby Spic. See: Spic.
specialmeal,Special Meal,Jews,When a Jewish person gets a meal on a plane it's from the kosher menu and a special meal not offered to regular passengers
speeddemon,Speed Demon,Hispanics,Amphetamines are popular among Hispanics.
spegro,Spegro,Mixed Races,Spanish/Black mix.
spew,Spew,Mixed Races,Spanish/Jewish mix.
spic,Spic,Hispanics,Short for Hispanic. Might also be acronym of SPanish Indian and Colored coming from the mixed breeds that resulted from the union of Spanish colonists Indian natives and Black (colored) slaves. From the OED. spic A. n. a. A contemptuous and offensive name for a Spanish-speaking native of Central or South America or the Caribbean; a spiggoty. - It dates back (in print) to at least 1913. However I understand it first applied to Italian immigrants in the late 1800s - More information: 1938 Amer. Speech XIII. 311/1 Spiggoty originated in Panama during Construction Days and is assumed to be a corruption of 'spikee de' in the sentence 'No spikee de English'
spicandspan,Spic and Span,Hispanics,Self Explanatory
spicaninny,Spicaninny,Mexicans,Young Mexican girls. Combination form of Spic and Picaninny.
spicerubber,Spice Rubber,Indians,Because they use massive spices in their cuisine and they rub them on their bodies.
spicetfence,Spicet Fence,Mexicans,10 mexicans lined up side by side at the border.
spickaboo,Spickaboo,Mixed Races,Mexican/Black mix. Derived from 'Spic' and 'Jigaboo.'
spicnic,SpicNic,Hispanics,Hispanics who pull over on the side of a main highway pop the hood on their car set up the volleyball net sit on thier coolers and have a picnic.
spicracker,Spicracker,Mixed Races,Hispanic/White mix.
spicycracker,Spicy Cracker,Mixed Races,White/Mexican mix
spider,Spider,Italians,Reference to a character in the film GoodFellas.
spigger,Spigger,Mixed Races,Hispanics/Black mix. Combination of 'Spic' and 'Nigger.'
spike,Spike,Mixed Races,Jewish and Hispanic Spic + Kike = Spike
spink,Spink,Mixed Races,Spanish/Chinese mix. Combination of 'Spic' and 'Chink.'
spivic,Spivic,Hispanics,Often referred to Hispanics that drive Honda Civics
spizzician,Spizzician,Mixed Races,Hispanic/Guatemalan mix. Pronounced spizzz-ik-ien.
splib,Splib,Blacks,Most likely origin comes from the 1960's as an acronym for: South Philadelphia Lower-Income Blacks.
spliv,Spliv,Blacks,Washington DC area police term
spoda,Spoda,Blacks,How blacks talk (ex.) We ain't Spoda be here. (we aren't supposed to be here)
spongehead,Sponge Head,Blacks,African's naturally bouncy/kinky hair when uncut tends to be big and poofy when dried out. When you sqeeze it it seems as if it would bounce back at release
spook,Spook,Blacks,Because of their dark skin which can blend into the night making them ghost-like.
spoon,Spoon,Blacks,From the reflection you see when looking at a spoon. Originates from the shape of a Black person's nose
spoonbill,Spoonbill,Blacks,A spoonbill is a type of bird. Look at one and the origin will be obvious.
spoonhead,Spoonhead,Cardassians,Facial feature looks like a spoon on their forehead
spota,Spota,Blacks,(Pronounced Spoh-tuh) Stereotype of dumb inner city blacks' slang for supposed to.  Spota get a job.  Spota take care of the kids.  Spota not break the law.
sprucemonkey,Spruce Monkey,Native Americans,Spruce forests
spud,Spud,Irish,The heavy influence of the potato in Ireland.
spudnigger,Spudnigger,Irish,Irish/Potato relationship. Also Spudfucker.
sputnik,Sputnik,Russians,The world's first artificial satellite sent into space. Not really a heinous threat but sounds that way.
squanto,Squanto,Native Americans,Name of a Native American who helped the English colonists in Massachusetts develop agricultural techniques and served as an interpreter between the colonists and the Wampanoag.
squarehead,Squarehead,Scandanavians,Shape of head late 19th/early 20th century American word. Applies to all Scandinavians.
squarehead,Squarehead,Albanians,Many Albanians seem to have a square head
squaw,Squaw,Native Americans,Refers to Native American women. Usually thought to refer to a woman's vagina but this is fairly controversial .
squawhopper,Squaw Hopper,Native Americans,Usually associated with natives but also used for anyone in a relationship with a native female
stableboy,Stable Boy,Croats,Their most common occupation in Austrian Empire. Betch-key ko-new-sharey Serbian pronounciation.
stacks,Stacks,Blacks,From the movie Goodfellas character Stacks Edwards the only black character manages to fuck up the heist.
stallion,Stallion,Italians,Like in the movie Rocky Rocky an Italian was know as the Stallion.
stan,Stan,Arabs,AfghaniSTAN PakiSTAN etc.
stein,Stein,Jews,Common name
stepnfetchit,Stepn Fetchit,Blacks,Stage name of American actor Lincoln Perry type cast as a slow uneducated & easily frightened Black man. Derogatory term also used to suggest the toady behavior of Black civil servants.
stinkian,Stinkian,Armenians,Odor
stormwatcher,Stormwatcher,Whites,Trailer trash that are forced to watch tornadoes while trapped in trailors.
stovelid,Stovelid,Blacks,A book from the 1950's set in Florida (_The Lotus Eaters_) used Stovelid which makes some sense if you've ever operated a big wood stove - the lids are the disks set into the big holes on top (these eventually became burners when the design was refined to use gas or electric).
stovepipe,Stovepipe,Blacks,Stovepipes from wood-fired stoves get encrusted with black soot hence the association.
strangefruit,Strange Fruit,Blacks,Coined by Blacks during slavery to refer to other Blacks who were hanged from trees. Used in a Billie Holiday song during the Civil Rights movement. See: Apple (2).
straphangers,Strap Hangers,Blacks,When the whites were sitting on the bus the blacks had to stand and hold onto the strap.
streetcheetah,Street Cheetah,Blacks,A reference to the ghetto i.e. uneducated Black criminals hanging around the streets day and night along with the speed of young black males like Cheetahs the fastest animals in the jungle.
stump/treejumper,Stump/Tree Jumper,Whites,Rednecks use Stump Jumper or Tree Jumper against hillbillies lower than themselves but they also use it to point out hillbillies that commit incest- jumping the family tree.
sub-human,Sub-Human,Blacks,They are said to be the missing link between apes and humans.
sudaca,Sudaca,South Americans,Used in Spain as a derogatory term for South American immigrants. Derived from the Spanish word for South American (sudamericano).
suddha,Suddha,Whites,Sinhala (Sri Lankan language) word for white. Similar to Gora
sungoblin,Sun Goblin,Arabs,Small ulgly vicious creatures of a sunny land
sunarefa,Sunarefa,Arabs,Used by Russian metal band Korrozia Metalla on the song (title translates to) Kill The Sunarefa. Sunarefa refers to a Soviet brand of cold medicine. I do not know if Korrozia Metalla (Corrosion of Metal) were the first to use this slang or how it came about but it seemed very widly understood among Russian youth.
sunnysideup,Sunny Side Up,Asians,Refers to Asians who believe they are white on the inside and try to fit in with whites but are really Asian and yellow on the outside. Sunnyside up has a white inside and yellow outside
superfly,Superfly,Pacific Islanders,WWF wrestler Superfly Jimmy Snuka.  Could be used for any dark-skinned individual.
surrendermonkeys,Surrender Monkeys,French,Referenced by Groudskeeper Willy on the Simpsons
svenne,Svenne,Swedes,Used by immigrants in Sweden about Swedes
swami,Swami,Indians,A Hindu religious teacher.
swampdonkey,Swamp Donkey,Blacks,Blacks from rural areas
swampkike,Swamp Kike,Cajuns,It has been said that Cajuns are the Jews of Louisiana because of their propensity for commerce and finance. The slur is used by any non-Cajun Black and White alike.
swampyankee,Swamp Yankee,Americans,Of the same nature as trailer trash but referring to a poor Whites who live in the boonies.
swamp-runner,Swamp-Runner,Blacks,Blacks running from slavery
swamper,Swamper,Blacks,Refers to poor blacks who live in rural areas especially if the area is predominantly white
sway,Sway,Blacks,They tended to sway from trees back in the Civil War days.
sweatysock,Sweaty Sock,Scottish,Cockney rhyming slang -- Jock = Sweaty Sock
swedishmeatball,Swedish Meatball,Swedes,Greasy beef balls from Sweden.
sweetback,Sweetback,Blacks,Name of Black Pimp in Melvin Van Peebles movie who kills white police and gets away with it common aspiration of black ghetto youths
swine,Swine,Whites,Relates to the pink color of the pig's color.  Tendency for the pig to lay in or eat anything. (Refers also to police men)
swinger,Swinger,Blacks,Blacks being hung
swirlie,Swirlie,Mixed Races,Black/White mix.
tab,Tab,Asians,Trendy Asian Bitch. Self explanatory
tabeetsu,Tabeetsu,Whites,Used by Chinese. Means great-nosed ones.
tableface,Table Face,Asians,They tend to have flat faces.
taco,Taco,Hispanics,Because they eat tacos.
tacobender,Taco Bender,Hispanics,Because they eat tacos.
tacojockey,Taco Jockey,Mexicans,Self-explanatory
taconigger,Taco Nigger,Hispanics,Because they eat tacos.
tacoshell,Taco Shell,Whites,White women who sleep with Mexicans
tadpole,Tad Pole,French,French baby
taffy,Taffy,Welsh,The Taff is the name of the river that runs through Cardiff the capital of Wales. Also from a poem that starts: Taffy was a Welshman Taffy was a thief.... Another explanation is that Taffy is based on an English pronuciation of the common Welsh first name Daffyd (David).
tagger,Tagger,Blacks,They often leave the tags on clothing.
tai-chink,Tai-chink,Asians,Martial arts.
taig,Taig,Irish,Means hero in Gaelic.  Used today as an insult by the Loyalist community in N Ireland.
taillessmonkeys,Tailless Monkeys,Filipinos,Americans who came to the Philippines at the end of the 19th century called Filipinos tailless monkeys because they were small brown and said to live in trees.
tamale,Tamale,Hispanics,A common latin American food.
tans,Tans,British,Refers to the criminal army the English sent into Ireland to rape plunder and terrorize the inhabitants. The uniform was made up of tanned bottoms and dark upper clothing. They became known as the black and tans.
tap,TAP,Americans,Typical American Prick
tap,TAP,Taiwanese,Taiwanese American Princess
tapehead,Tape Head,Asians,Facial characteristics--slanted eyes as if someone pulled back their eyes using Scotch tape around the back of their head.
tarbaby,Tar Baby,Blacks,Skin color. From the Uncle Remus (Br'er Rabbit) story.
taran,Taran,Romanians,Equivalent to calling someone a redneck.
target,Target,Iraqis,Gulf War related.
target,Target,Indians,The dot on their head looks like a laser sight.
taro,Taro,Polynesians,They eat a hell of a lot of Taro. It's why they're so big
tatertot,Tater Tot,Irish,Irish Child.
taxi,Taxi,Asians,Taxis are yellow
taxidriver,Taxi Driver,Indians,The famous New York taxi drivers
tea-wop,Tea-wop,British,Tea-drinking immigrants.
teabag,Teabag,British,British are said to drink a good deal of tea.
tedstevens,Ted Stevens,Blacks,A brand of candied chocolate in England; Quite dull and worthless.
tee-peecreeper,Tee-Pee Creeper,Native Americans,Some live in tee-pees.
termite,Termite,Whites,Termites are typically white pale or clear.
terr-ab,Terr-ab,Arabs,Short for terrorist-Arab
terrence,Terrence,Blacks,Likely comes from the black singer Terence Trent D'Arby who claimed that his debut album was the most important album since Sgt. Pepper and then bored his audience with self-important lyrics losing major credibility in the process.
terrone,Terrone,Italians,Southern Italians. Any Italian living more south than Rome very offensive describes living standards and cultural differences from the more European north. The Italian word Terra means land or dirt so a Terrone is one who works with the land.
terrorist,Terrorist,Arabs,Self explanatory.
test-taker,Test-Taker,Asians,Asians are always taking standardized tests to further their education.
tetris,Tetris,Russians,Popular video game which originated in Russia
tex-mex,Tex-mex,Mexicans,A person of hispanic lineage hopefully Mexican that is from Texas.
texican,Texican,Mexicans,Brown texans usually illegal and doing drywall work. Technically: a Hispanic-American that lives in Texas
thankyoucomeagain,Thank You Come Again,Indians,A phrase made popular by stereotypical Indian convenience store owner Apu on The Simpsons.
theelement,The Element,Blacks,Used in reference to minorities in terms of location. Example: This neighborhhod was nice until the element moved in. Not necessarily specific to Blacks.
themissinglink,The Missing Link,Blacks,The oldest living black person in a community.
thicklips,Thick Lips,Blacks,Originates from Shakespeare's Othello
thickmick,Thick Mick,Irish,Commonly used in England where Irish immigrants did much of the manual labour. Thick meaning stupid Mick as an abbreviation of Michael a common Irish Christian name.
thief,Thief,Blacks,Common stereotype
thin-eyed,Thin-Eyed,Asians,In Russian uzko glaziye means thin eyed and is used for referring to all Far East Asians.
thing-a-manigger,Thing-a-manigger,Blacks,Used when talking about a third(black) person you don't know.
thirty-six-thirty(36-30),Thirty-Six-Thirty (36-30),Blacks,The latitude line between slave and free states
thistlearse,Thistle Arse,Scottish,Emblem of the country. Apparently used by other United Kingdom Inhabitants
three-fifth(3/5),Three-Fifth (3/5),Blacks,Same vain as Point-Six. In reference to the 3/5ths Compromise where the US Gov't decided that slaves (Blacks) only counted as 3/5ths of a person for population reasons.
thug,Thug,Whites,Represents white ppl/teenagers or young adults that want to be black.
thumper,Thumper,Blacks,Blacks listen to loud thumping music in their cars.
tibbs,Tibbs,Blacks,Reference to one of the cast members of In the Heat of the Night.
tibla,Tibla,Russians,Ti blya. The slur roughly translates to: you damn it or you fucking...
tico,Tico,Costa Ricans,Nickname non-derogatory.
tifuti,Tifuti,Blacks,Black Brazilians. Word for niggar in Brazil pronounced CHEE-foo-CHEE
tiger,Tiger,Mixed Races,Thai/Black. Thai + nigger. An equivalent to eggplant. Originating from Tiger Woods racial heritage.
tigger,Tigger,Blacks,A typical nigger
timbernigger,Timber Nigger,Native Americans,Similar to Prairie Nigger.
tinty,Tinty,Asians,Their eyes are tinted and can not be seen into only out of. Also pertaining to Asian woman who sleep with numerous men in one night.
tiny,Tiny,Asians,For their small stature (penis etc)
tinytim,Tiny Tim,Whites,Reference to White people supposedly having smaller penises.
tipitom,Tipi Tom,Native Americans,Combination if Tee-pee living and tom-tom usage.
tira-flecha,Tira-flecha,Latin Americans,Racial term mostly used by Cubans or White Hispanics referring to the Mestizo peoples (or mixed Indian/Spanish) of Central or South america (since Cubans have no Indian ancestry). Means One who throws arrows.
tire-hugger,Tire-Hugger,Mexicans,Method used to cross Rio Grande floating on inner tubes and tires.
tizzun,Tizzun,Blacks,Neapolitan derogatory term for black person.
tnt,TNT,Filipinos,Tago Nang Tago  It's a filipino thats an illegal alien. Translates to hides and hides (from the I.N.S.)
toad,Toad,French,Frog-related see: frog.
toad,Toad,Blacks,In prison this is a widely used word for blacks.
toboggan,Toboggan,Trinidadians,Play on quiet rivalry between Trinidad and Tobago
toby,Toby,Blacks,Reference to the character in Roots.
toiletswimmer,Toilet Swimmer,Blacks,When sitting on the toilet reference to large genetalia
tojo,Tojo,Japanese,General Hideki Tojo Japanese Prime Minister during WW2. Ordered the attack on Pearl Harbor.
token,Token,Blacks,Indicates that a person is unqualified for his/her position and received it on racial grounds. One of the two black characters on the show South Park is named Token. Could be used for any race.
tokenbump,Tokenbump,Blacks,For blacks that ride in hoopties with loud systems and smoke marijuana
tomrobinson,Tom Robinson,Blacks,Black criminals.  Comes from To Kill a Mockingbird
tomahawk-chucker,Tomahawk-Chucker,Native Americans,Self-explanatory.
tomahonky,Tomahonky,Native Americans,Normally refers to whites with a Native American heritage.  Combo of tomahawk + honky
tomatopicker,Tomato Picker,Hispanics,Hispanics pick tomatoes.
tommy,Tommy,British,Tommy Atkins was a fictional soldier used to represent all British soldiers for morale purposes during WWI. http://www.britains-smallwars.com/Anecdotes/TommyAtkins.htm - Origin in dispute.
tonk,Tonk,Mexicans,Illegal Mexican immigrants. Tonk is the sound that is made when the illegals are hit over the head with the large flashlights/batons that the US border patrolmen carry.
tonto,Tonto,Native Americans,Native American character from The Lone Ranger. Spanish for Idiot
tony,Tony,Italians,Started when there was a big Italian emigration to the U.S. Their Luggage would say TO NY (New York).
tonysoprano,Tony Soprano,Italians,Suggests that all Italians are in the mob
tootsierolls,Tootsie Rolls,Blacks,Black children. Tootsie rolls are small and brown.
tornadobait,Tornado Bait,Whites,Refering to trailer trash conmonly hit by tornadoes
tory,Tory,Irish,Bandit from the Irish Tory Island a noted have for bandits and pirates. Also common slang term for a member of Canada's Conservative party.
toubob,Toubob,Whites,Toubob was the Mandika word for whites in the novel Roots
toucansam,Toucan Sam,Jews,Toucans have large protruding beaks
tounge-clicker,Tounge-Clicker,Blacks,The Language for som African Peoples involves clicking of the tounge
towel-head,Towel-head,Arabs,Referring to a popular Muslim headdress. Also: Rag-head.
towlie,Towlie,Arabs,Self explanatory
tp,TP,Pakistanis,Means Typical Paki. Insult used by western born Pakistanis against other Pakistanis who are acting like they are straight off the boat
tpt,TPT,Whites,Short for trailer park trash.
trailnigger,Trail Nigger,Native Americans,Self Explanatory
trailertrash,Trailer Trash,Whites,Similar to White Trash but only used for lower-class Whites who live in trailer parks.
trash,Trash,Whites,Self-explanatory. Usually used as White trash Poor white trash or Trailer trash.
treehockey,Tree Hockey,Blacks,Used by hockey players to make fun of blacks playing basketball.
treeornament,Tree Ornament,Blacks,Hanging reference.
tree-jumper,Tree-Jumper,Blacks,Mike Tyson in an interview referred to others calling him a tree jumper obviously because monkeys in the jungle jump between trees in the forest canopy
tree-looper,Tree-Looper,Whites,Rednecks are commonly known for incest thus 'looping' the family tree
tree-swinger,Tree-Swinger,Blacks,Either from monkeys or the victim of a lynching.
triad,Triad,Asians,The Asian mob based out of Macao is called the Triad.
triathlete,Triathlete,Mexicans,Mexicans that can run jump or swim are already in the US.
trigger,Trigger,Blacks,Rerence to high murder rate.  Sounds like Nigger
tripod,Tripod,Blacks,Stereotypical large penises
triscuit,Triscuit,Whites,White trash so bad they are worse than a cracker
trisket,Trisket,Mixed Races,Mexican/White; A brown cracker.
trog,Trog,Whites,Used by Police in relation to unemployed whites.  Short for Troglodyte or cave dweller.
tsinker,Tsinker,Thais,They can't swim
tuft,Tuft,Greeks,Many Greeks wear their hair high on the front of their head apparently because they use it for protection when in a fight
tuna,Tuna,Portuguese,Portuguese in San Diego worked principally as tuna fishermen.
tundranigger,Tundra Nigger,Native Americans,same as prarie nigger but Eskimos are a different species of animal than Indians.
tunneldigger,Tunnel Digger,Vietnamese,They used to dig foxholes and tunnels in Vietnam to kill American soldiers.
tunnelrat,Tunnel Rat,Vietnamese,They used to dig interconnected series of tunnels through which they would live.
tupperwarehead,Tupperware Head,Austrians,Related to slur Boxhead for Germans.. it's a slightly more efficient and cleaner version of a box.
turbinator,Turbinator,Indians,Seekh Indians wear turbans because their religion dictates that they may not cut hair
turco,Turco,Arabs,Used primarily in Spanish-speaking countries and South America in particular as a derogatory term for people of Arabic descent. It means Turk a much-hated nation by other Arabic states in Spanish.
turf-cutter,Turf-Cutter,Irish,Turf is peat moss found in deep layers in Ireland. It was originally cut by most Irish farmers and used as fuel (an early form of coal).  More modernly it could apply to any drunk Irishmen working as greenkeepers such as on golf courses.
turkey,Turkey,Whites,Turkey is white meat
turkeysandwich,Turkey Sandwich,Turkish,Self-explanitory.
turkishaxe,Turkish Axe,Turks,Brand of deodorant. Greeks use this word for Turks as many of them they usually don't take a bath for days. They mostly use this deodorant for days
turtleneck,Turtleneck,French,Many of the French are uncircumcised.
tuskanraider,Tuskan Raider,Arabs,Inspired by Star Wars they are the sand people with the spears.
tusken,Tusken,Somalians,Star Wars reference to the Tuscan Raiders nomadic desert dwellers that no one likes.
tuskenraider,Tusken Raider,Arabs,Sand people in Star Wars
tutsoon/tootsoon,Tutsoon/Tootsoon,Blacks,Origins in Chicago (particularly Italians).
twink,Twink,Taiwanese,Similar to chink
twinkie,Twinkie,Asians,An Asian-American who has lost their heritage. Yellow on the outside white on the inside.
twisterfodder,Twister Fodder,Americans,Many Midwesterners live in Tornado Alley which is known for having a disproportionate number of tornados every year.
twostroke,Two Stroke,Asians,Eyes look like 2 strokes
two-tone,TWO-TONE,Mixed Races,Self Explanatory
tycoon,Tycoon,Blacks,A black man from Thailand
tyrone,Tyrone,Blacks,Popular Black name
tyvek,Tyvek,Blacks,Refers to unusual names given to many black men; actually a material used by Du Pont for large mailing envelopes.
ubangi,Ubangi,Blacks,A river in Africa.
uda,Uda,Spanish,Spanish accordion player.  Origins unknown thought to come from Philadelphia area.
ufo,UFO,Asians,Ugly Fucking Oriental.
uke,Uke,Ukrainians,Short form of Ukrainian not derogatory commonly used by Ukrainians to refer to themselves or one another.
ukey,Ukey,Ukrainians,Name which they call one another when others call them this it is derogratory similar if a non-Black calls a Black nigger
umlungu,Umlungu,Whites,Zulus called whites this meaning the white scum that forms in the surf.
uncleben,Uncle Ben,Blacks,Black man on the famous rice box.
uncleben'sboys,Uncle Ben's Boys,Vietnamese,From the Vietnam War referring to Vietnamese soldiers due to large number of rice patties.
uncledaddy,Uncle Daddy,Whites,Rumors of inbreeding in the Appalachians.
unclescam,Uncle Scam,Americans,In reference to Uncle Sam but with America's bad reputation
uncletom,Uncle Tom,Blacks,Blacks who suck up to white people. In reference to the Uncle Tom character in the famous 1852 book Uncle Tom's Cabin by Harriet Beecher Stowe.
underbite,Underbite,Koreans,Koreans are said to have large underbites.
unemployusafricanus,Unemployus Africanus,Blacks,Genus & species. Scientific name. self explanatory
uni-brow,Uni-brow,Greeks,They tend to have hairy the eyebrows that often meet and appear as one. Also applies to some Italians.
upsurt,Upsurt,Bulgarians,This is how Bulgarians pronounce the word Absurd. It is also a popular Bulgarian rap-group.
urbanturban,Urban Turban,Arabs,Arab who tries to act black
urkel,Urkel,Blacks,Nerdy Blacks. Character from Family Matters TV show.
uzbek,Uzbek,Asians,Armenian word for people with slanted eyes.
vacuumcleaner,Vacuum Cleaner,Blacks,Their noses represent a vacuum. Also used because they vacuum up much cocaine.
vamp,Vamp,Whites,Possibly the lack of melanin resembles the  pale skin of a vampire. Another reason could be vampires need blood and whites tend to look cold and in need of a blood transfusion.
vanilla,Vanilla,Whites,Originates from vanilla ice cream and the white pop star Vanilla Ice.
vanillaasian,Vanilla Asian,Russians,They are white Asians
vanillacoke,Vanilla Coke,Blacks,Black people with white personalities.
vanillagorilla,Vanilla Gorilla,Blacks,A black guy who acts white.  Used mostly to describe unathletic blacks who according to stereotypes should be naturally good at sports
vanillaice,Vanilla Ice,Whites,In reference to the singer Vanilla Ice.
vato,Vato,Mexicans,Originates from Chicano slang. In Spanish it means guy. Can be compared with dude.
vc,VC,Asians,Term used to describe Viet Cong during the Vietnam War. Often used now to group all Asians as the enemy or as untrustworthy.
vegemite,Vegemite,Australian Aboriginals,Aboriginal skin colour resembles popular Australian sandwich spread
velcro-head,Velcro-head,Blacks,Characteristics of the hair.
verbes,Verbes,Romanians,Transylvanian Saxon slur for Romanians
viceroy,Viceroy,Japanese,From Star Wars Episode One trade federation people have similiar characteristics of Japanese buisness men.
victorcharlie,Victor Charlie,Vietnamese,From the Vietnam War. US Military radio code breakdown for Vietcong
vietcong,Viet Cong,Vietnamese,Self Explanatory
vike,Vike,Scandinavians,Vike is short for viking. The Vikings were the warrior class of the ancient Scandinavians
viking,Viking,Norwegians,Self explanatory
vinegar,Vinegar,Mixed Races,Black/Vietnamese. (Vi-nigger)
vink,Vink,Vietnamese,Adaptation of Chinese 'chink' for Vietnamese
vinnydel,Vinny Del,Blacks,Vinny del Negro was a basketball player
vlade,Vlade,Serbs,Vlade Divac from the Lakers and Kings
vlah,Vlah,Serbs,Stayed behind for 500 years. Vlah's are now extinct but the saying still stuck with the Serbs who replaced them.
vodkanigger,Vodka Nigger,Russians,They like to drink Vodka
vodkalky,Vodkalky,Russians,Vodka + alcoholics. Plural: Vodkalkies.
volkswagen,Volkswagen,Germans,Self explanatory.
voodoo,Voodoo,Blacks,Stereotypical thought of blacks using voodoo.
voons,Voons,Hatians,Hatians in New Orleans practice alot of voodoo. Voodoo + Coon
w.o.g.,W.O.G.,Hispanics,Those who worked on the suez canal project would wear a uniform which had Working On Government (project) on it. Typically used to describe people who arent white.
wab,Wab,Hispanics,Short for Wet-Back. See: Wet-Back.
wadie,Wadie,Mexicans,The Rio Grande is so shallow now that illegals just have to wade across.
wadjyla,Wadjyla,Whites,Mainly used by the Nyoongar Aboriginal people of south-west Australia. Pronounced wad-jah-lah.
waffle,Waffle,Belgians,Belgian waffles.
wagon-burner,Wagon-Burner,Native Americans,They burnt wagons
wahoo,Wahoo,Native Americans,War Cry there was also a famous Native American wrestler named Wahoo McDaniel in the 80's.
wailer,Wailer,Jamaicans,Comes from Bob Marley and the Wailers
waki,Waki,Pakistanis,Pakistanis who try to act white
wakipaki,Waki Paki,Pakistanis,Wacky Pakistanis.
walkingcarpet,Walking Carpet,Armenians,Most Armenians are hairy
wallione,Wallione,Italians,In addressing a fellow Italian but condescending when used by non-Italians
wam,WAM,Whites,White American Male
wanderingjew,Wandering Jew,Jews,The jews wandered the desert for 40 years after crossing the red sea to get out of egypt before reaching the holy-land.
wangchung,Wang Chung,Asians,Represents a typical Asian name.  Also a British new wave band in the 80's famous for their song Everybody Have Fun Tonight with the lyric Everybody Wang Chung tonight!
wanian,Wanian,Lithuanians,Typically refers to Lithuanians who have recently moved to North America or sometimes Lithuanians still living in the old country. Not usually used to refer to exiles (see Lugan).
wanker,Wanker,British,Implies that the addresser is accusing the addressee of self-gratification.
wankster,Wankster,Whites,A white person acting as a gangster.
wap,WAP,Whites,Means White American Princess. Arrogant female whites who flaunt their money around and demand the finest things in life.
wapanese,Wapanese,Whites,Used to describe a white person who is obssesed with japanese culture. This would include manga/hentai/and anime.
warwhoop,War Whoop,Native Americans,Refers to the traditional Native American war cry.
washisho,Washisho,Whites,Pronounced Wa-She-Shoo; is a typical reservation slur for Native Americans to use when talking about white people in a derogatory manner.
wasian,Wasian,Whites,Combination of wigger and Asian. Refers to White people who are infatuated with Asian culture and society. Usually in reference to males.
wasp,Wasp,Whites,Stands for White Anglo-Saxon Protestant. Refers to Pure whites.
waterbuffalo,Water Buffalo,Blacks,Originally meant for noisy people but gained notoriety when a Jewish University of Pennsylvania student used it to describe members of a black sorority who held a loud party while he was trying to study.  It turned into a hate crime case.
watermelon,Watermelon,Blacks,For their fondness for watermelon. Used in the movie 48 Hours.
watermelon,Watermelon,Guatemalans,Words sound alike.
waverunner,Waverunner,Asians,Reference to the 2004 tsunami.
wayans,Wayans,Blacks,The whole Wayans family was on In Living Color
weaner,Weaner,Whites,Short for White Beaner (like wigger). Refers to a white guy that acts like a beaner.
webe,Webe,Blacks,Pronounced we be this refers to the inability of most blacks to conjugate the be verb thus resulting in we be instead of we are when making references to themselves.
weegie,Weegie,Norwegians,A shortening of Norwegian
weegie,Weegie,Scottish,A derogatory term used by Edinburgh people for Glasgow people. Comes from Glaswegians. The collective noun for people from Glasgow Scotland.
wegro,Wegro,Whites,Same as wigger.
wej,Wej,Jews,Jew spelled backwards.
welfaremonkey,Welfare Monkey,Blacks,See Welfare Mother.
welfaremother,Welfare Mother,Blacks,Common stereotype representing that large black single-parent families are disproportionately represented on welfare rolls.
welsher,Welsher,Welsh,Supposedly dates from the 19th Century when the English government decided that all Welsh children should speak English in school. Any child caught speaking Welsh had a board placed around his/her neck and could only get rid of it by telling on another child using Welsh. At the end of the day the child stuck with the board got caned.
wetdog,Wet Dog,Whites,When white people sweat/get wet they smell like wet dogs.
wetback,Wetback,Mexicans,Comes from Operation Wetback a military operation devised in 1954 to stop the onslaught of illegal aliens entering the United States primarily from Mexico. The operation was soon abandoned in part because of outcry of Mexican-Americans who were angered by the racial profiling. More info
wetblack,WetBlack,Mixed Races,Mexican/Black mix
wetvac,Wetvac,Mexicans,A play on wetback. Many Mexicans who have illegaly entered the country take cleaning jobs.
wexican,Wexican,Mixed Races,White/Mexican mix.
